id,phi,x,y,z
0,0,0,0,0
0.001,7799.0710671748,0.001,0,0
0.002,15443.943642701,0.002,0,0
0.003,22934.462024255,0.003,0,0
0.004,30270.785469055,0.004,0,0
0.005,37452.740095921,0.005,0,0
0.006,44480.447346493,0.006,0,0
0.007,51353.838017552,0.007,0,0
0.008,58051.465136196,0.008,0,0
0.009,64589.602753492,0.009,0,0
0.01,70973.431346275,0.01,0,0
0.011,77202.973813861,0.011,0,0
0.012,83278.214622615,0.012,0,0
0.013,89199.232530495,0.013,0,0
0.014,94965.883707959,0.014,0,0
0.015,100577.40913169,0.015,0,0
0.016,106008.7630426,0.016,0,0
0.017,111285.90023388,0.017,0,0
0.018,116408.69372473,0.018,0,0
0.019,121377.29114744,0.019,0,0
0.02,126191.66844126,0.02,0,0
0.021,130851.64835025,0.021,0,0
0.022,135357.33216688,0.022,0,0
0.023,139701.73894654,0.023,0,0
0.024,143872.13103053,0.024,0,0
0.025,147888.36660807,0.025,0,0
0.026,151750.30854461,0.026,0,0
0.027,155457.89479024,0.027,0,0
0.028,159011.27920494,0.028,0,0
0.029,162410.41573855,0.029,0,0
0.03,165655.23931544,0.03,0,0
0.031,168732.52745103,0.031,0,0
0.032,171642.11552937,0.032,0,0
0.033,174397.33235582,0.033,0,0
0.034,176998.41978335,0.034,0,0
0.035,179445.20765699,0.035,0,0
0.036,181737.75077226,0.036,0,0
0.037,183876.07104724,0.037,0,0
0.038,185860.15277227,0.038,0,0
0.039,187670.3222638,0.039,0,0
0.04,189319.03728447,0.04,0,0
0.041,190813.51153537,0.041,0,0
0.042,192153.8167213,0.042,0,0
0.043,193339.97286922,0.043,0,0
0.044,194372.02612235,0.044,0,0
0.045,195249.88773734,0.045,0,0
0.046,195973.21872228,0.046,0,0
0.047,196516.26956974,0.047,0,0
0.048,196903.63730284,0.048,0,0
0.049,197136.0579427,0.049,0,0
0.05,197213.53148932,0.05,0,0
0.051,197136.0579427,0.051,0,0
0.052,196903.63730284,0.052,0,0
0.053,196516.26956974,0.053,0,0
0.054,195973.21872228,0.054,0,0
0.055,195249.88773734,0.055,0,0
0.056,194372.02612235,0.056,0,0
0.057,193339.97286922,0.057,0,0
0.058,192153.8167213,0.058,0,0
0.059,190813.51153537,0.059,0,0
0.06,189319.03728447,0.06,0,0
0.061,187670.3222638,0.061,0,0
0.062,185860.15277227,0.062,0,0
0.063,183876.07104724,0.063,0,0
0.064,181737.75077226,0.064,0,0
0.065,179445.20765699,0.065,0,0
0.066,176998.41978335,0.066,0,0
0.067,174397.33235582,0.067,0,0
0.068,171642.11552937,0.068,0,0
0.069,168732.52745103,0.069,0,0
0.07,165655.23931544,0.07,0,0
0.071,162410.41573855,0.071,0,0
0.072,159011.27920494,0.072,0,0
0.073,155457.89479024,0.073,0,0
0.074,151750.30854461,0.074,0,0
0.075,147888.36660807,0.075,0,0
0.076,143872.13103053,0.076,0,0
0.077,139701.73894654,0.077,0,0
0.078,135357.33216688,0.078,0,0
0.079,130851.64835025,0.079,0,0
0.08,126191.66844126,0.08,0,0
0.081,121377.29114744,0.081,0,0
0.082,116408.69372473,0.082,0,0
0.083,111285.90023388,0.083,0,0
0.084,106008.7630426,0.084,0,0
0.085,100577.40913169,0.085,0,0
0.086,94965.883707959,0.086,0,0
0.087,89199.232530495,0.087,0,0
0.088,83278.214622615,0.088,0,0
0.089,77202.973813861,0.089,0,0
0.09,70973.431346275,0.09,0,0
0.091,64589.602753492,0.091,0,0
0.092,58051.465136196,0.092,0,0
0.093,51353.838017552,0.093,0,0
0.094,44480.447346493,0.094,0,0
0.095,37452.740095921,0.095,0,0
0.096,30270.785469055,0.096,0,0
0.097,22934.462024255,0.097,0,0
0.098,15443.943642701,0.098,0,0
0.099,7799.0710671748,0.099,0,0
0.1,0,0.1,0,0
